Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
Agbl5	-0.394364871347092	1.8829120286286	-0.703486770189047	0.484227471952002	0.786009299816123	-5.77903594475701
Cyp2c44	-0.457545956177256	-1.94675591134087	-0.703449366893029	0.484250620510013	0.786009299816123	-5.56125049496178
Zfp59	-0.270195988600342	2.83021354268012	-0.703010519234702	0.484522265151723	0.786377761462387	-5.90074393450668
Mycbp	-0.201805911974927	3.89185012471155	-0.702833518433627	0.484631851720285	0.786483159825383	-6.12427430005926
Csf3	-0.781549978737519	0.00565457808002032	-0.702715835783142	0.484704720224544	0.786528956473432	-5.61998205864193
Thnsl2	-0.419155110570464	1.77170316852573	-0.702483592115615	0.484848542148888	0.786689869991233	-5.72062177369089
Clca3a2	0.811989399506325	0.0698231212651828	0.702160791491334	0.485048482702318	0.786891429392386	-5.65718875304148
Nr1d2	-0.270383321812498	6.53580254932699	-0.70213880211397	0.485062104437552	0.786891429392386	-6.37882128006867
Fmc1	0.281607897508752	2.98657797930154	0.701750615444916	0.485302608892447	0.787107950650851	-6.11867597342999
Mrnip	0.312087645190664	1.65335106972962	0.701707730290487	0.485329182816265	0.787107950650851	-5.90271210167772
Tubb4b	0.147198329148565	7.54729846002482	0.701707027148969	0.485329618526881	0.787107950650851	-6.43152482793451
Itgb1bp1	0.16297313238587	5.25937341736538	0.701530962967459	0.485438725761977	0.787180751275895	-6.33194227530747
Olfr1162	0.448913601174961	-1.69081878404347	0.701490377765376	0.485463878398123	0.787180751275895	-5.58023780606203
Dnajc14	-0.162449787830006	6.32671198680917	-0.701397135885991	0.485521667687623	0.787201997053398	-6.38481327043445
Dnali1	-0.5365642665055	-1.99154788837449	-0.701128461386897	0.485688207596908	0.787399545833529	-5.56332490736937
Ubb	-0.160408488952624	9.86953055690283	-0.701026202039548	0.485751602129227	0.787429853971516	-6.4130800438483
Chchd7	0.296685949197153	3.60810765267215	0.700900765457794	0.48582937138132	0.787481700745907	-6.19762591833533
Lcor	-0.521633380393283	2.20530723732041	-0.700817102122864	0.485881245526445	0.787481700745907	-5.78916384320931
Hmces	0.235402678832869	3.46613522178796	0.700701329468301	0.485953033609095	0.787481700745907	-6.18100176937048
Lemd2	-0.154697564003872	5.55475837567504	-0.70068623135641	0.485962396049543	0.787481700745907	-6.32734414100826
Camk1d	-0.238693456057867	5.1955914642395	-0.700431325836804	0.486120479738004	0.787616057877527	-6.28954508396656
Olfr49	-0.429482469070889	-0.287708175465883	-0.700387607344304	0.48614759531004	0.787616057877527	-5.60284844014804
Kdm8	0.3630230181608	1.35984856312498	0.700336265961246	0.486179439904645	0.787616057877527	-5.76979771457391
Frrs1l	-0.500887836934861	0.877477149393783	-0.70000095003964	0.486387448643634	0.787711690948516	-5.67461553010253
Tmem140	-0.213142310626797	5.95790513200523	-0.69997406354045	0.486404129454148	0.787711690948516	-6.36216822377936
Kcnt2	0.475025376257065	0.979200044110667	0.699973291830999	0.486404608239602	0.787711690948516	-5.75258221227339
Arhgap19	-0.273376874577572	6.09684379710592	-0.699952778840101	0.486417335044162	0.787711690948516	-6.37188632291595
Bap1	0.113131973818415	5.69069951479778	0.69957687325916	0.4866505894563	0.787716143656432	-6.35705586829374
Zfp52	-0.210695855066774	4.20687583811581	-0.699528995122291	0.486680302915621	0.787716143656432	-6.16245050110585
Dnajc22	-0.483942340459796	-1.89356583922946	-0.69948793783469	0.486705784113625	0.787716143656432	-5.56596567983626
Folh1	-0.734070030380708	0.550014295725071	-0.699335665896302	0.486800294394398	0.787716143656432	-5.63384503484475
Olfr1116	0.474502287090903	0.111408566720245	0.699331724363029	0.486802740911638	0.787716143656432	-5.69631533590926
Kantr	-0.352011564327555	2.29581475415242	-0.699226695556542	0.486867934995707	0.787716143656432	-5.83175155727851
Slc22a13	-0.487586833738673	-1.92131906074981	-0.699218900081549	0.48687277404007	0.787716143656432	-5.56562008548776
Omg	-0.435530074762989	-1.59691059074272	-0.699110475209246	0.486940081580592	0.787716143656432	-5.57019002153809
Pds5b	-0.435520125875976	5.31429011524359	-0.699045935135698	0.486980148939677	0.787716143656432	-6.21322876921076
Smg8	0.128956878612849	4.14310507226961	0.699022507853974	0.486994693366751	0.787716143656432	-6.22775636398337
Tgfbr1	-0.266222306841975	7.75030900992222	-0.698965417648795	0.487030137849076	0.787716143656432	-6.43230302548381
Gpi1	-0.184102968231225	7.81982212935016	-0.698848713792621	0.487102597931017	0.787716143656432	-6.43538549976314
Clec2l	-0.496140559971965	-1.09297569659574	-0.698826340587017	0.487116489877347	0.787716143656432	-5.5755910869872
Ttc28	0.313715836332452	5.14209686317891	0.698784301317649	0.487142593446469	0.787716143656432	-6.30439094770918
Ppfibp1	-0.288823470653976	7.39038722753921	-0.698781016698056	0.487144633007672	0.787716143656432	-6.42558560673559
Asb11	-0.783397016399721	-0.0406409563431302	-0.698709802197991	0.487188854305474	0.787716143656432	-5.58877799734216
Wdr7	-0.163307332356577	5.33490853106703	-0.698691342505989	0.487200317382627	0.787716143656432	-6.30814567354289
Ocrl	-0.244612823097122	5.68482547330048	-0.698651640985593	0.487224971689401	0.787716143656432	-6.32455071326526
Tmco3	-0.505838404619321	4.52726434704574	-0.698353652836661	0.487410041793548	0.787863589697477	-6.17255742113149
Fig4	-0.140243061120196	5.01725906197158	-0.698272560681401	0.4874604120375	0.787863589697477	-6.28813349175281
Kcnd1	-0.257331265014485	3.04371086554943	-0.698268309562544	0.487463052691494	0.787863589697477	-5.95628211245521
Gm42669	0.352531042872472	1.31351087220563	0.698182065034546	0.487516626636583	0.787863589697477	-5.88307284203691
Pdp1	-0.222140618320301	4.75098090742125	-0.698141004381454	0.487542134106375	0.787863589697477	-6.24432791136736
Tpcn1	-0.223304284195693	5.80040361421095	-0.69802434164305	0.487614610702586	0.787863589697477	-6.33911752228578
Nmrk1	-0.216942334382007	2.6281962734353	-0.697930385349281	0.487672985269389	0.787863589697477	-5.97515209806082
Ccdc141	-0.514387723650277	2.33843998457898	-0.697928807149207	0.48767396583	0.787863589697477	-5.83570660512122
Myo7a	-0.745897065063344	4.67426697301639	-0.697570757258147	0.48789645600913	0.788150753696179	-6.09085032181511
Uvssa	0.536368871814531	4.20714018055445	0.697094949609252	0.488192206856409	0.78846393990398	-6.24811877940056
Prickle4	0.569770054021308	-1.16165505895963	0.69703371088933	0.488230278587023	0.78846393990398	-5.61948722142917
Plekhj1	-0.34613619353703	3.43363343489544	-0.697013826836459	0.488242640731016	0.78846393990398	-6.11249871003949
1110034G24Rik	0.22490761608321	2.35606413835183	0.696970844010055	0.488269364237768	0.78846393990398	-6.03355209176483
Zfp109	-0.415061571837702	0.863765665263053	-0.696726737072374	0.488421146975527	0.788636748407046	-5.67928544455069
Idi2	-0.471726899079424	-1.18202586277844	-0.696603185641255	0.488497979675878	0.78868432659768	-5.57523281373587
Irx2	0.312679439678279	3.14891577676975	0.696535369709777	0.488540155076855	0.78868432659768	-6.07112106860276
Mogs	-0.147291946540314	5.48850101659921	-0.6964375613857	0.488600986580404	0.788710251956419	-6.32926125602006
Apoc1	-0.51983002799853	3.93439950801997	-0.696357800820559	0.488650596442278	0.788718060007987	-6.13741768959942
Nipbl	-0.37417704704023	6.21286677129085	-0.696285224436804	0.488695740265234	0.788718658773465	-6.3635450675491
Gfod1	-0.284228009859665	3.8713428087419	-0.696177233747718	0.488762916681887	0.788744750151106	-6.15838180704822
Eef1akmt1	0.25661183999519	4.19812194514988	0.696096711425234	0.48881300950791	0.788744750151106	-6.25032120669304
Znhit2	0.267260151315674	3.57042236284552	0.696043313754074	0.488846229686068	0.788744750151106	-6.18330873292408
Pkdcc	-0.288118162766781	4.90739673327422	-0.695709745845286	0.489053779733648	0.789007361826902	-6.25186076788502
mt-Nd2	0.198920757674498	10.268272684328	0.695504571909325	0.489181465588825	0.789141089543292	-6.40523622583174
Abcd1	0.151879224496912	5.53127817688035	0.695352190690816	0.489276308846527	0.789221816375828	-6.35633279633809
Olfr1157	-0.493984803540294	-1.44252694955806	-0.695207034060882	0.489366664883219	0.789295291025708	-5.57288014345384
Slc8a1	-0.642954134093206	3.87406864289836	-0.694954735430197	0.489523735755047	0.789476346155901	-5.99699021813458
Atad2b	0.25046245331697	4.84207886955585	0.694686577478365	0.489690710424331	0.789673338963294	-6.29652475015234
D030056L22Rik	0.150930530752795	3.20440673334108	0.694431980820026	0.489849269856798	0.789856726571841	-6.12318134027446
Clnk	-0.454932371396224	-2.18758023921593	-0.694345524311358	0.489903120253901	0.789871258135889	-5.56486831891725
Myo1c	0.133445484756547	8.07348978977339	0.694112900525631	0.49004802873926	0.790032586645082	-6.43784628352139
Pcdhgb2	0.503749532922699	2.68659617568247	0.694001545140392	0.490117403767932	0.790060362354338	-5.98094971893743
Kcna4	-0.477204619681832	-1.80733485814684	-0.693930801972461	0.490161479964544	0.790060362354338	-5.57066474071514
Rpl35a	0.289855829486486	7.3210289082248	0.693783107699498	0.490253507212335	0.790060362354338	-6.4370953448748
Bivm	-0.190919141545686	4.26685738358965	-0.693651570140363	0.490335475328319	0.790060362354338	-6.18946380738595
Kng1	-0.591009636005144	-0.392232482502866	-0.693639096116129	0.490343248953919	0.790060362354338	-5.58229579062031
Gm9903	-0.353355505211995	-1.13464167181933	-0.693625070636064	0.490351989504579	0.790060362354338	-5.58183856363728
Pik3c3	-0.55647092653087	4.7346019228133	-0.693581406987164	0.490379200839142	0.790060362354338	-6.15990309497188
Gdf7	-0.545034174006722	-2.12187113789509	-0.693405142819893	0.490489057711233	0.790161637933406	-5.56590725381542
Zfp251	-0.423847309441929	3.54188191840205	-0.693336616170795	0.490531770687996	0.790161637933406	-5.96979586804721
Tnfrsf4	-0.531148495776113	0.286431093967395	-0.693190110779692	0.490623095035133	0.79023648552061	-5.63840552363785
Fam81b	-0.473645889220384	-2.12643118750759	-0.693034717492067	0.49071996988071	0.790320258677873	-5.56574944589398
Sntb2	-0.314413301423469	6.15163020145907	-0.692750169040035	0.490897389530112	0.790533724651472	-6.36367983257458
Prss53	-0.457940461175406	0.832249038968719	-0.692404515045917	0.491112956694506	0.790775264924931	-5.67567983944216
Nono	-0.100736048736687	7.7501381694528	-0.692310407246066	0.49117165604478	0.790775264924931	-6.43958698706719
Mxd3	-0.365355625628242	2.07676174250213	-0.692293748127133	0.491182047502759	0.790775264924931	-5.8591492289081
Pcdhgb1	-0.7643284168908	1.9016359716877	-0.692175752660285	0.491255652988015	0.790821491641861	-5.71198013601279
Psmc6	-0.153685963485639	6.83754058646155	-0.691993167769435	0.491369561249844	0.79093258323988	-6.41778004947941
